Title,Movie Link,Year,Duration,MPA,Rating,Votes
Reagan,https://www.imdb.com/title/tt1723808/?ref_=sr_t_47,2024,2h 21m,PG-13,6.2,9.5K
Nickel Boys,https://www.imdb.com/title/tt23055660/?ref_=sr_t_208,2024,2h 20m,PG-13,7.6,988
Bramayugam,https://www.imdb.com/title/tt27431598/?ref_=sr_t_547,2024,2h 19m,,7.8,13K
Argylle,https://www.imdb.com/title/tt15009428/?ref_=sr_t_38,2024,2h 19m,PG-13,5.6,88K
Anora,https://www.imdb.com/title/tt28607951/?ref_=sr_t_74,2024,2h 19m,R,7.9,53K
Joker: Folie à Deux,https://www.imdb.com/title/tt11315808/?ref_=sr_t_35,2024,2h 18m,R,5.2,141K
Bougainvillea,https://www.imdb.com/title/tt32592802/?ref_=sr_t_469,2024,2h 18m,,6.4,2.2K
The New Year That Never Came,https://www.imdb.com/title/tt33030375/?ref_=sr_t_344,2024,2h 18m,,8.4,3.6K
Megalopolis,https://www.imdb.com/title/tt10128846/?ref_=sr_t_90,2024,2h 18m,R,4.8,30K
Tillu Square,https://www.imdb.com/title/tt22987820/?ref_=sr_t_145,2024,2h 17m,,6.6,3.2K
Khadaan,https://www.imdb.com/title/tt30701950/?ref_=sr_t_429,2024,2h 17m,,7.5,1.3K
Parthenope,https://www.imdb.com/title/tt23853982/?ref_=sr_t_345,2024,2h 16m,R,6.9,3.2K
I'm Still Here,https://www.imdb.com/title/tt14961016/?ref_=sr_t_376,2024,2h 16m,PG-13,8.9,9.6K
The Heart Stays,https://www.imdb.com/title/tt3972986/?ref_=sr_t_278,2024,2h 16m,,8.2,9
Queer,https://www.imdb.com/title/tt24176060/?ref_=sr_t_118,2024,2h 16m,R,6.6,6.1K
Shinda Shinda No Papa,https://www.imdb.com/title/tt30777542/?ref_=sr_t_230,2024,2h 15m,,5.9,571
Manjummel Boys,https://www.imdb.com/title/tt26458038/?ref_=sr_t_441,2024,2h 15m,,8.2,25K
Forty-Seven Days with Jesus,https://www.imdb.com/title/tt27691828/?ref_=sr_t_205,2024,2h 15m,,7.4,97
Diamanti,https://www.imdb.com/title/tt32810496/?ref_=sr_t_482,2024,2h 15m,,7.1,457
Jatt & Juliet 3,https://www.imdb.com/title/tt29063558/?ref_=sr_t_151,2024,2h 15m,,5.4,1.7K
Overlord: The Sacred Kingdom,https://www.imdb.com/title/tt14603848/?ref_=sr_t_149,2024,2h 15m,R,7.1,578
Khel Khel Mein,https://www.imdb.com/title/tt27056012/?ref_=sr_t_562,2024,2h 15m,,6.5,26K
UI,https://www.imdb.com/title/tt23875550/?ref_=sr_t_359,2024,2h 15m,,7.9,4.8K
Exhuma,https://www.imdb.com/title/tt27802490/?ref_=sr_t_133,2024,2h 14m,,6.9,20K
Better Man,https://www.imdb.com/title/tt14260836/?ref_=sr_t_246,2024,2h 14m,R,7.7,4.3K
The Lord of the Rings: The War of the Rohirrim,https://www.imdb.com/title/tt14824600/?ref_=sr_t_87,2024,2h 14m,PG-13,6.5,17K
