Title,Movie Link,Year,Duration,MPA,Rating,Votes
Bagheera,https://www.imdb.com/title/tt15380608/?ref_=sr_t_450,2024,2h 38m,,6.8,6.6K
Bagman,https://www.imdb.com/title/tt21201300/?ref_=sr_t_431,2024,1h 33m,PG-13,4.7,3.3K
Barroz: Guardian of Treasures,https://www.imdb.com/title/tt10345546/?ref_=sr_t_513,2024,2h 35m,,4.7,487
Beating Hearts,https://www.imdb.com/title/tt27490099/?ref_=sr_t_575,2024,2h 46m,,7.3,2.4K
Beatles '64,https://www.imdb.com/title/tt33986138/?ref_=sr_t_569,2024,1h 46m,,7.2,1.9K
Beautiful Wedding,https://www.imdb.com/title/tt26546123/?ref_=sr_t_571,2024,1h 40m,R,4.1,3.6K
Beetlejuice Beetlejuice,https://www.imdb.com/title/tt2049403/?ref_=sr_t_6,2024,1h 45m,PG-13,6.7,127K
Before Dawn,https://www.imdb.com/title/tt10869956/?ref_=sr_t_315,2024,1h 41m,R,5.4,829
Believe in Christmas,https://www.imdb.com/title/tt31987262/?ref_=sr_t_398,2024,1h 30m,,6.1,723
Better Man,https://www.imdb.com/title/tt14260836/?ref_=sr_t_246,2024,2h 14m,R,7.7,4.3K
Between the Temples,https://www.imdb.com/title/tt27722375/?ref_=sr_t_138,2024,1h 51m,R,6.3,2.3K
Beverly Hills Cop: Axel F,https://www.imdb.com/title/tt3083016/?ref_=sr_t_392,2024,1h 58m,R,6.4,77K
Bhool Bhulaiyaa 3,https://www.imdb.com/title/tt26932223/?ref_=sr_t_134,2024,2h 38m,,4.8,75K
Bird,https://www.imdb.com/title/tt28277817/?ref_=sr_t_225,2024,1h 59m,R,7.1,3.6K
Black Box Diaries,https://www.imdb.com/title/tt30227076/?ref_=sr_t_283,2024,1h 42m,,7.9,514
Blink,https://www.imdb.com/title/tt29259074/?ref_=sr_t_453,2024,1h 23m,PG,7.2,376
Blink Twice,https://www.imdb.com/title/tt14858658/?ref_=sr_t_56,2024,1h 42m,R,6.5,68K
Blitz,https://www.imdb.com/title/tt15939198/?ref_=sr_t_347,2024,2h,PG-13,6.2,12K
Bloody Axe Wound,https://www.imdb.com/title/tt6975842/?ref_=sr_t_243,2024,1h 23m,,5.8,73
Blue Lock: Episode Nagi,https://www.imdb.com/title/tt28671146/?ref_=sr_t_146,2024,1h 31m,PG-13,6.6,2.1K
Bob Marley: One Love,https://www.imdb.com/title/tt8521778/?ref_=sr_t_24,2024,1h 47m,PG-13,6.2,33K
Bocchi the Rock! Re:,https://www.imdb.com/title/tt32561659/?ref_=sr_t_221,2024,1h 30m,,7.6,121
Boneyard,https://www.imdb.com/title/tt10993078/?ref_=sr_t_447,2024,1h 36m,R,4.1,3.7K
Bonhoeffer: Pastor. Spy. Assassin.,https://www.imdb.com/title/tt26237514/?ref_=sr_t_79,2024,2h 13m,PG-13,6.6,2.4K
Bookworm,https://www.imdb.com/title/tt23472210/?ref_=sr_t_298,2024,1h 43m,,6.1,1.3K
Boot Camp,https://www.imdb.com/title/tt22827888/?ref_=sr_t_417,2024,1h 34m,,5.6,698
Borderlands,https://www.imdb.com/title/tt4978420/?ref_=sr_t_72,2024,1h 41m,PG-13,4.6,38K
Boss Ma'am,https://www.imdb.com/title/tt34525380/?ref_=sr_t_590,2024,1h 7m,,6.7,79
Bougainvillea,https://www.imdb.com/title/tt32592802/?ref_=sr_t_469,2024,2h 18m,,6.4,2.2K
Bramayugam,https://www.imdb.com/title/tt27431598/?ref_=sr_t_547,2024,2h 19m,,7.8,13K
Brewster's Millions: Christmas,https://www.imdb.com/title/tt31955992/?ref_=sr_t_548,2024,1h 40m,,5.7,162
Brothers,https://www.imdb.com/title/tt9860566/?ref_=sr_t_410,2024,1h 29m,R,5.4,11K
Buy Now! The Shopping Conspiracy,https://www.imdb.com/title/tt34350086/?ref_=sr_t_529,2024,1h 24m,,6.7,4.7K
Cabrini,https://www.imdb.com/title/tt14351082/?ref_=sr_t_62,2024,2h 22m,PG-13,7.3,7.9K
Caddo Lake,https://www.imdb.com/title/tt15552142/?ref_=sr_t_354,2024,1h 43m,PG-13,6.9,34K
"Canadian, Sniper",https://www.imdb.com/title/tt30223155/?ref_=sr_t_539,2024,1h 23m,,3.4,252
Canary Black,https://www.imdb.com/title/tt20048582/?ref_=sr_t_397,2024,1h 41m,R,5.3,9.6K
Carry-On,https://www.imdb.com/title/tt21382296/?ref_=sr_t_317,2024,1h 59m,PG-13,6.5,118K
"Carville: Winning Is Everything, Stupid",https://www.imdb.com/title/tt33303715/?ref_=sr_t_284,2024,1h 38m,,7.4,217
Cash Out,https://www.imdb.com/title/tt24131288/?ref_=sr_t_483,2024,1h 32m,R,4.8,2.6K
CatVideoFest 2024,https://www.imdb.com/title/tt31630188/?ref_=sr_t_173,2024,1h 13m,,6.5,20
Cellar Door,https://www.imdb.com/title/tt11950888/?ref_=sr_t_434,2024,1h 37m,R,5.2,2.4K
Challengers,https://www.imdb.com/title/tt16426418/?ref_=sr_t_37,2024,2h 11m,R,7.1,130K
